"","Non.work.trips.person","Miles.person","X..change.in.consumption","Social.distancing.index","Unemployment.rate","X..working.from.home","Tests.done.1000.people","Imported.COVID.cases","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"2020-06-01",2.69,36.9285714285714,-0.8,27.5714285714286,9.84285714285714,37.9428571428571,36.12,803.857142857143,-2.30911786508525,1.40845070422535,5.69532987398073,-3.99110452186805,-20.7976278724981,3.48109710896961
"2020-06-08",2.72857142857143,38.7571428571429,0.628571428571429,26.2857142857143,8.87142857142857,38.7857142857143,41.8985714285714,977.285714285714,-2.43726800296956,1.40386043058649,7.30809205642168,-2.54194506310319,-20.6020786933927,3.32145508537491
"2020-06-15",2.64857142857143,38.9285714285714,-2.32857142857143,30.2857142857143,8.67142857142857,38.7142857142857,49.0471428571429,1377.42857142857,-2.77818991097923,1.70103857566766,6.98293768545994,-1.9933234421365,-21.6379821958457,3.24554896142433
"2020-06-22",2.50571428571429,38.0428571428571,-7.58571428571429,35,8.47142857142857,39.4142857142857,57.8914285714286,1679.85714285714,-5.71779597915115,-1.36634400595681,3.78629932985853,-3.0282948622487,-23.5532390171258,4.01787043931497
"2020-06-29",2.44857142857143,38.2428571428571,-9.68571428571429,38,8.25714285714286,43.0142857142857,68.7128571428571,2174.14285714286,-5.30825958702065,0.705752212389381,4.24926253687316,-4.4240412979351,-29.6519174041298,3.99115044247788
"2020-07-06",2.39857142857143,39.8142857142857,-11.5428571428571,36,7.98571428571429,42.4428571428571,80.9757142857143,2934.42857142857,-6.97337278106509,-1.70414201183432,2.90902366863905,-4.37352071005917,-26.7100591715976,4.19674556213018
"2020-07-13",2.49142857142857,39.3142857142857,-8.1,34.5714285714286,7.87142857142857,42.0857142857143,94.6857142857143,3511.28571428571,-6.69710467706013,-1.9072011878248,3.41351150705271,-4.50705270972532,-26.4536005939124,4.01559020044543
"2020-07-20",2.73,39.4714285714286,0.7,32.1428571428571,7.64285714285714,42.0428571428571,110.518571428571,4302.14285714286,-7.82540861812779,-3.18722139673105,2.66270430906389,-5.34992570579495,-26.7117384843982,4.04977711738484
"2020-07-27",2.75,40.8571428571429,1.42857142857143,30.2857142857143,7.22857142857143,42.3,125.528571428571,4986.71428571429,-5.80578206078577,-2.31430689399555,3.60934025203855,-4.21868050407709,-26.2016308376575,3.75166790214974
"2020-08-03",2.93714285714286,40.2,8.32857142857143,27.1428571428571,6.84285714285714,42.2714285714286,137.427142857143,5057.71428571429,-4.89211309523809,-1.75818452380952,4.72842261904762,-3.52529761904762,-25.2738095238095,3.43526785714286
"2020-08-10",2.95571428571429,43.5142857142857,9.01428571428571,26.5714285714286,7.14285714285714,42.0428571428571,147.04,5146.71428571429,-5.86671630677588,-2.18987341772152,3.46984363365599,-3.83320923306031,-25.2375279225614,3.31422189128816
"2020-08-17",2.86,44.8,5.47142857142857,28.4285714285714,7.44285714285714,41.0142857142857,158.922857142857,4804,-7.19251336898396,-3.65775401069519,-1.49554367201426,-5.02673796791444,-23.2442067736185,7.50623885918004
"2020-08-24",2.62714285714286,37.6,-3.1,32.1428571428571,7.75714285714286,36.8285714285714,167.344285714286,3384.42857142857,-8.53108348134991,-4.46003552397869,-1.8259325044405,-5.13499111900533,-24.2824156305506,7.34635879218472
"2020-08-31",2.79714285714286,39.2857142857143,3.15714285714286,28.4285714285714,8.12857142857143,36.3714285714286,177.975714285714,3504.14285714286,-6.12343470483005,-3.22361359570662,-1.83899821109123,-5.11806797853309,-22.9785330948122,6.71377459749553
"2020-09-07",2.79,37.9285714285714,2.88571428571429,30.1428571428571,8.25714285714286,36.2285714285714,188.942857142857,3035.57142857143,-6.3877094972067,-3.90055865921788,3.27262569832402,-3.3072625698324,-23.9441340782123,4.05027932960894
"2020-09-14",2.75428571428571,36.8571428571429,1.57142857142857,29.4285714285714,7.95714285714286,36.3714285714286,187.677142857143,2907.14285714286,-5.09009679821296,-3.45718540580789,5.14147431124348,-2.48324646314222,-19.4690990320179,2.29858525688757
"2020-09-21",2.79,36.2142857142857,2.91428571428571,28.8571428571429,7.64285714285714,36.2285714285714,203.157142857143,2751.42857142857,-7.08507462686567,-4.43432835820896,1.07835820895522,-3.87835820895522,-19.1365671641791,3.34179104477612
"2020-09-28",2.88285714285714,38.1714285714286,6.3,25.7142857142857,7.24285714285714,36.4142857142857,220.351428571429,3221,-4.35171385991058,-2.3070044709389,3.55365126676602,-1.8070044709389,-18.6356184798808,2.41281669150522
"2020-10-05",2.67857142857143,38.2142857142857,-1.21428571428571,28,6.94285714285714,36.4285714285714,234.13,3456.57142857143,-5.64312267657993,-2.58959107806691,2.91449814126394,-1.77323420074349,-19.0379182156134,2.63866171003717
"2020-10-12",2.72285714285714,39.2285714285714,0.428571428571428,28,7.22857142857143,35.9714285714286,248.641428571429,4037.85714285714,-5.29144981412639,-2.92862453531598,3.40223048327138,-1.34349442379182,-19.9078066914498,3.00743494423792
"2020-10-19",3.01857142857143,40.3,11.3285714285714,24.8571428571429,7.44285714285714,35.7142857142857,263.398571428571,4374.14285714286,-5.7910780669145,-3.63048327137546,1.89888475836431,-2.16208178438662,-17.9078066914498,2.87137546468401
"2020-10-26",3.22428571428571,37.8571428571429,18.9142857142857,25.4285714285714,7.72857142857143,35.1428571428571,279.145714285714,4173.28571428571,-5.92814814814815,-3.40962962962963,-1.50814814814815,-3.09555555555556,-19.2992592592593,3.35925925925926
"2020-11-02",2.88714285714286,38.0428571428571,6.47142857142857,29,7.92857142857143,34.7428571428571,295.81,5493.57142857143,-5.50741839762611,-3.85385756676558,0.923590504451039,-3.90207715133531,-17.2930267062315,2.97922848664688
"2020-11-09",3.00142857142857,38.0714285714286,10.7142857142857,27.1428571428571,8.08571428571429,34.3857142857143,316.318571428571,6522,-6.2299703264095,-3.55637982195846,0.267062314540059,-3.57715133531157,-18.6498516320475,3.26261127596439
"2020-11-16",2.34285714285714,38.9428571428571,-13.5857142857143,35.4285714285714,7.95714285714286,34.8428571428571,336.89,9176.28571428571,-6.68005952380952,-3.30729166666667,-0.897321428571429,-2.18973214285714,-18.2723214285714,3.36755952380952
"2020-11-23",2.65285714285714,41.7571428571429,-2.15714285714286,34,7.67142857142857,37.4571428571429,362.891428571429,12586.2857142857,-11.7037037037037,-3.41259259259259,-4.53407407407407,-4.70962962962963,-38.7437037037037,6.02666666666667
"2020-11-30",3.02857142857143,38.2857142857143,11.7,26.5714285714286,7.45714285714286,33.6,393.468571428571,12806.1428571429,-6.03355704697987,-3.89261744966443,-4.40044742729306,-3.70842654735272,-17.5958240119314,3.76062639821029
"2020-12-07",3.07857142857143,34.8714285714286,13.5428571428571,27.1428571428571,7.18571428571429,33.5714285714286,414.56,14728.5714285714,-7.18852459016393,-3.94485842026826,-3.93219076005961,-4.30178837555887,-16.9560357675112,3.58643815201192
"2020-12-14",2.74142857142857,43.2142857142857,1.11428571428571,29.5714285714286,7.1,34.5428571428571,433.192857142857,15401.2857142857,-5.40652818991098,-2.14243323442137,-5.5393175074184,-1.69139465875371,-17.8857566765579,3.77151335311573
"2020-12-21",2.55857142857143,43.3571428571429,-5.62857142857143,31.7142857142857,7.08571428571429,41.4142857142857,457.942857142857,15973.8571428571,-9.57718120805369,-2.14392244593587,-2.99627143922446,-6.79642058165548,-39.5391498881432,6.1372110365399
"2020-12-28",2.48857142857143,42.1428571428571,-8.21428571428571,34,6.98571428571429,40.2,479.912857142857,9057.57142857143,-9.49888309754281,-4.31943410275503,-5.8265078183172,-7.74683544303798,-37.7244973938943,7.2777364110201
"2021-01-04",2.48285714285714,37.5285714285714,-8.42857142857143,32.5714285714286,6.88571428571429,32.0857142857143,504.06,14046.7142857143,-9.32986627043091,-5.23402674591382,-7.54754829123328,-5.95839524517088,-20.7919762258544,4.93313521545319
"2021-01-11",2.71285714285714,39.3857142857143,0.0571428571428571,28.4285714285714,6.8,30.1714285714286,533.565714285714,14868.8571428571,-9.32044609665427,-6.19702602230483,-5.54126394052045,-5.18810408921933,-20.0624535315985,4.58661710037175
"2021-01-18",2.71285714285714,38.5,0.0428571428571431,30,6.81428571428571,30,564.318571428571,13452.4285714286,-10.4977810650888,-6.76405325443787,-6.72707100591716,-6.05325443786982,-20.6715976331361,4.76109467455621
"2021-01-25",2.71428571428571,37.9428571428571,0.114285714285714,27.7142857142857,6.9,29.9571428571429,591.751428571429,12864.2857142857,-7.66790214974055,-5.95181616011861,-3.34914751667902,-4.78428465530022,-17.5100074128984,3.7709414381023
"2021-02-01",3.02428571428571,41.5142857142857,11.5285714285714,25.1428571428571,6.9,29.7,620.577142857143,12005.8571428571,-7.27225519287834,-4.22329376854599,-3.486646884273,-5.00741839762611,-17.1862017804154,3.47106824925816
"2021-02-08",2.69714285714286,36.8714285714286,-0.514285714285715,38.7142857142857,6.92857142857143,29.6428571428571,644.86,9418.57142857143,-13.8333333333333,-5.86343612334802,-12.068281938326,-8.7136563876652,-24.4897209985316,5.65565345080764
"2021-02-15",2.36,30.0142857142857,-12.9714285714286,50.5714285714286,7.11428571428571,29.2571428571429,660.728571428571,6040.14285714286,-23.2020802377415,-11.7860326894502,-14.1196136701337,-15.1389301634473,-48.7578008915305,10.1879643387816
"2021-02-22",3.11285714285714,41.9428571428571,14.7857142857143,21.4285714285714,7.22857142857143,28.8714285714286,674.801428571429,6252.71428571429,-2.55696202531646,-3.06329113924051,-3.57185405807893,-0.661950856291884,-15.8920327624721,2.83023082650782
"2021-03-01",3.12714285714286,42.0857142857143,15.3285714285714,20.8571428571429,7.42857142857143,28.0857142857143,688.201428571429,4830.42857142857,-1.68205510052122,-2.03276247207744,-0.516753536857781,0.455696202531646,-16.3224125093075,2.5584512285927
"2021-03-08",3.11428571428571,48.4,14.8428571428571,20.8571428571429,7.61428571428571,27.9428571428571,693.59,4453.14285714286,-0.559171597633136,-1.4741124260355,1.13979289940828,3.2137573964497,-20.1723372781065,2.63091715976331
"2021-03-15",3.34571428571429,52.5857142857143,23.3857142857143,20,7.72857142857143,27.5428571428571,693.59,4430.57142857143,5.42644873699851,0.686478454680535,5.09583952451709,6.33878157503715,-23.3796433878158,2.2035661218425
"2021-03-22",3.43,45.7428571428571,26.5142857142857,19.5714285714286,7.92857142857143,27.1857142857143,693.59,3373.85714285714,2.51270553064275,-0.736173393124066,2.652466367713,2.38041853512706,-16.2331838565022,1.99177877428999
"2021-03-29",3.60571428571429,47.7142857142857,32.9857142857143,20.7142857142857,8.11428571428571,27.0428571428571,693.59,2989.71428571429,2.53869047619048,1.19270833333333,3.4858630952381,2.3139880952381,-21.110119047619,2.02752976190476
"2021-04-05",3.61428571428571,47.8857142857143,33.3142857142857,19.7142857142857,8.22857142857143,26.3428571428571,693.59,2832.28571428571,3.41062079281975,0.881824981301421,5.37696335078534,3.04412864622289,-16.9760658189978,1.71054599850411
"2021-04-12",3.60285714285714,49.4428571428571,32.8714285714286,20,8.4,24.2,693.59,2902.85714285714,0.524663677130045,-0.939461883408072,0.963378176382661,1.5575485799701,-17.4559043348281,2.36322869955157
