time_value,Illinois,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Texas,Utah,Virginia,Wisconsin,Wyoming
2020-06-22,33.2075398,13.1354989,243.9303521,104.9107233,73.4937136,24.3977151,15.3423833,49.2932579,106.5801299,70.77046849999999,5.6502282,47.9557262,32.7232374,38.066614200000004,26.6805561,65.9740998,11.9772774,42.526233700000006,22.2705743,18.4542544,44.932009699999995,85.00918469999999,32.2773645,71.8470104,15.665093600000002,26.029616599999997,23.3581914,56.216178299999996,27.819258799999997,33.886270100000004,58.5548895,29.944968,23.804580599999998,122.1275837,66.6112768,95.1135094,102.87096720000001,41.9306665,36.6856885,26.090307
2020-06-29,41.5729078,25.317002800000004,269.76145579999996,137.8147897,107.04996539999999,31.124079799999997,16.2982081,57.09802379999999,212.40711899999997,126.1007598,5.9687886,81.88432639999999,38.4281534,61.1234578,33.6958425,147.2662602,18.3766191,43.7873695,18.6990897,22.3902899,46.5724,142.78784910000002,47.158051300000004,124.1771313,14.7893181,22.651682800000003,22.8338658,90.4521234,29.5344528,47.11456049999999,61.3644919,33.0796677,30.727700600000002,172.29072679999996,98.0179337,133.5139389,115.8011644,43.3896058,51.271019499999994,37.804811
2020-07-06,35.7880686,35.9497865,369.7080132000001,132.41416610000002,119.4642985,30.3191533,17.221614900000002,94.1706615,279.8525748,166.2079396,9.181621,128.7026493,48.9585974,83.37583940000002,40.401345500000005,198.8902928,15.176177500000001,43.8329517,16.0754374,30.309836200000003,48.0173174,157.58619620000002,37.7519703,162.8164289,11.3259362,26.3335955,24.257769600000003,105.25278019999999,40.6791048,47.98487479999999,80.54140410000001,45.2849478,35.765541400000004,227.94041389999998,142.6526839,160.18482089999998,118.6852729,45.8437266,68.751316,38.8762852
2020-07-13,63.65304560000001,51.988922,307.32064449999996,155.27847400000002,157.72840730000001,51.712737000000004,14.9777564,60.1788523,353.7989128,221.40965849999998,15.0437327,187.5701221,52.1819031,103.2157881,55.9799251,290.3978967,10.0430587,59.9270884,24.519394400000003,39.4218121,74.5261393,182.2153393,66.4447713,182.0037686,11.3259361,21.5149642,23.718022599999998,122.9395189,77.8151909,76.1136444,110.7918152,48.43829749999999,41.1319372,228.9503747,193.8008901,221.19003740000005,142.26636770000002,64.90525060000002,83.8309203,39.394635799999996
2020-07-20,63.44610219999999,77.05516130000001,288.93147280000005,164.7135082,164.89529199999996,57.40339089999999,15.320568699999999,76.5072442,359.2108017,233.79582630000002,10.6515893,211.8900119,76.55402219999999,103.33707259999998,84.0297314,324.2693783,11.3347633,85.1947806,23.703917499999996,52.000457899999994,76.6481828,242.89881839999998,95.65377539999999,261.89124200000003,13.255825699999999,19.116607700000003,26.026083399999994,129.9322536,89.40405790000001,79.6650077,117.9662801,56.8446147,47.499642900000005,255.01730809999998,210.44188069999998,249.6574034,138.53246570000002,78.4368326,104.20112710000001,48.8195367
2020-07-27,79.221261,113.58134,251.21941260000003,182.14683800000003,162.0856369,68.85663710000001,26.0893572,80.30693259999998,332.9129035000001,235.8633045,22.6011829,187.4199811,84.3973303,108.0717481,93.18217800000001,323.4439494,8.9620271,102.2325368,27.228256399999996,47.890168599999996,83.00717900000001,299.718281,152.83957800000002,226.81365699999998,14.052807799999998,35.5197953,25.794763200000002,132.575575,112.3729109,77.044666,182.0998531,52.834994800000004,51.5361738,210.27052310000002,242.99990400000002,192.8935147,119.4813714,89.5983185,109.70990069999999,57.1842673
2020-08-03,84.4327679,115.1031362,211.14611639999995,169.9377202,139.84426670000002,58.5944328,30.334500499999997,66.6485925,272.1030276,229.61681570000002,52.380729099999996,163.0072149,81.8066388,90.15702819999998,87.59839459999999,235.2691462,10.221154700000001,103.50404460000001,29.9989526,51.9336923,84.08542390000001,281.24711390000004,158.00900840000003,234.7798574,16.0289838,34.979399,23.1268711,115.67969770000002,104.4022742,75.1375776,148.63909940000002,53.707326200000004,46.349701,201.8765667,205.4209525,198.00918629999998,96.0035742,81.88054729999999,101.3432132,56.325644600000004
2020-08-10,96.7385976,68.7575224,108.14669620000001,179.2100503,140.3954749,52.8606842,14.1973334,59.45999249999999,207.4097128,220.26108820000002,84.5767538,187.96735259999997,97.099121,93.93216089999999,83.6674111,239.2731779,5.999373600000001,84.4479394,29.621789800000002,46.81657800000001,87.6029768,219.9012668,115.40184690000001,183.9554989,13.174507299999998,30.262190099999998,23.096028599999997,97.5867629,121.2582106,66.4316756,134.6719979,50.0293881,41.8829196,157.3004423,192.80267249999997,186.24518530000006,88.03404679999998,88.9697217,98.2914299,33.314558
2020-08-17,99.19340809999998,78.30333549999999,87.3419992,100.60973,145.8618325,40.1534579,19.679472,92.6302472,180.0599927,185.20979,112.08196699999999,155.07032909999998,89.0309672,117.7154958,99.1009885,140.4424843,10.8136853,73.5988396,29.4332085,49.72630960000001,74.239811,160.544104,146.4997103,159.1646834,12.003440099999999,34.0787387,23.5432475,92.33245379999998,122.0422078,62.6944664,119.2730174,46.280720300000006,43.4239983,111.03786099999998,157.2565855,177.2433743,77.04902239999998,77.6666209,88.0388089,49.6283882
2020-08-24,111.38801660000001,73.7379467,59.409267899999996,125.95189869999999,103.0682779,33.9375924,20.916467400000002,41.6938807,123.01392440000001,162.39003169999998,110.44729020000001,116.0427453,97.49882779999999,134.6692727,93.96390770000001,109.3789488,11.850614100000001,65.2927556,30.303584299999997,48.89352439999999,80.9920985,202.0031104,122.798359,128.8293923,9.954072199999999,25.1959753,21.1689902,107.89728299999999,176.7913352,56.348907399999995,120.85562060000001,40.1744003,35.984577900000005,107.28166120000003,143.1717391,126.74740459999998,76.00282969999999,72.195501,79.86071510000001,46.709071300000005
